vOTU;Lowest_taxon;Oct_2019;Feb_2020;Jul_2020;Oct_2020;Dec_2020;Feb_2021;Apr_2021;Jul_2021;Aug_2021;Nov_2021;Feb_2022;May_2022;Jul_2022;Oct_2022
D44_0000320306__full;g__Parasynechococcus OR g__Synechococcus_C;0,337706522;0;0;1,22222631;0;0;0;0;0;0,157773306;0;0;3,44865754;4,254262236
D4_0000007524__full;g__Parasynechococcus OR g__Synechococcus_C;0,914118795;0,927639796;0;0;0;0;0;0;0;0;0;0;0;0
D4_0000274656__full;g__Parasynechococcus OR g__Synechococcus_C;0,54271657;1,208687673;0;0;0;0;0;0;0;0;0;0;0;0
D86_0000050668__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;1,765668535;0,196661282;0;0;0;0,45782644;0,151967168
D86_0000113035__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0,294650884;0;0;0;0;3,908848805;0;0,164336186;0;0;8,948217688;0
D86_0000150952__full;g__Parasynechococcus OR g__Synechococcus_C;0;1,124566243;4,019526088;0,527989218;0;0;0;2,41684208;0;0,771763167;0,361663013;0;15,56866763;0,854943282
D86_0000299133__full;g__Parasynechococcus OR g__Synechococcus_C;0,30166433;0;0;0,341813434;0,174677973;0;0;1,097470991;0;1,849695474;0,28381694;0;0,997889361;0,456949764
D115B_0000100569__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0;0;4,505988737;0;0;0;0
D115B_0000271124__lt2gene;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0,605846716;0,258087114;0;0;0,335828068
D150_0000046125__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0,397628976;0;0;0;0;5,719242725;0
D150_0000064848__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0;0;0;5,330549244;0
D150_0000094672__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0;0;0;2,260036127;0
